Provincia,Partido/Ciudad,Localidad,link Indec,Velocidad (Mbps),Accesos,Accesos Relativos
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0.0,1.0,2.004257041957117e-05
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0.5,2.0,4.008514083914234e-05
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0.75,19.0,0.00038080883797185223
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,3.0,85.0,0.0017036184856635494
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,3.5,145.0,0.0029061727108378194
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,6.0,76.0,0.001523235351887409
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,8.0,299.0,0.005992728555451779
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,10.0,288.0,0.005772260280836497
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,15.0,415.0,0.008317666724122036
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,20.0,1796.0,0.03599645647354982
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,25.0,144.0,0.0028861301404182484
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,30.0,1501.0,0.030083898199776325
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,40.0,27.0,0.0005411494013284216
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,50.0,647.0,0.012967543061462547
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,80.0,9.0,0.00018038313377614053
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,100.0,693.0,0.01388950130076282
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,300.0,95.0,0.0019040441898592613
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,500.0,3.0,6.01277112587135e-05
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,10.0,59.0,0.001182511654754699
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,20.0,5.0,0.00010021285209785585
BUENOS AIRES,25 de Mayo,Del Valle,6854020,0.5,1.0,2.004257041957117e-05
BUENOS AIRES,25 de Mayo,Del Valle,6854020,3.0,181.0,0.003627705245942381
BUENOS AIRES,25 de Mayo,Del Valle,6854020,10.0,10.0,0.0002004257041957117
BUENOS AIRES,25 de Mayo,Ernestina,6854030,5.0,75.0,0.0015031927814678377
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,2.0,106.0,0.002124512464474544
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,3.0,3.0,6.01277112587135e-05
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,4.0,56.0,0.0011223839434959854
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,5.0,7.0,0.00014029799293699817
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,6.0,3.0,6.01277112587135e-05
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,8.0,4.0,8.017028167828467e-05
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,10.0,1.0,2.004257041957117e-05
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,65.0,1.0,2.004257041957117e-05
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,3.0,5.0,0.00010021285209785585
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,2.0,174.0,0.0034874072530053832
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,3.0,32.0,0.0006413622534262774
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,4.0,9.0,0.00018038313377614053
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,5.0,8.0,0.00016034056335656935
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,6.0,914.0,0.01831890936348805
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,10.0,2.0,4.008514083914234e-05
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,15.0,322.0,0.006453707675101917
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,25.0,29.0,0.0005812345421675639
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,50.0,20.0,0.0004008514083914234
BUENOS AIRES,25 de Mayo,Pedernales,6854070,6.0,2.0,4.008514083914234e-05
BUENOS AIRES,25 de Mayo,Pedernales,6854070,10.0,177.0,0.0035475349642640967
BUENOS AIRES,25 de Mayo,Pedernales,6854070,15.0,3.0,6.01277112587135e-05
BUENOS AIRES,25 de Mayo,Pedernales,6854070,50.0,25.0,0.0005010642604892792
BUENOS AIRES,25 de Mayo,San Enrique,6854080,20.0,11.0,0.00022046827461528286
BUENOS AIRES,25 de Mayo,Valdés,6854090,10.0,245.0,0.004910429752794937
BUENOS AIRES,25 de Mayo,Valdés,6854090,20.0,18.0,0.00036076626755228105
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,3.0,11.0,0.00022046827461528286
BUENOS AIRES,9 de Julio,9 de Julio,6588100,0.75,9.0,0.00018038313377614053
BUENOS AIRES,9 de Julio,9 de Julio,6588100,3.0,198.0,0.0039684289430750915
BUENOS AIRES,9 de Julio,9 de Julio,6588100,3.5,114.0,0.002284853027831113
BUENOS AIRES,9 de Julio,9 de Julio,6588100,5.0,154.0,0.0030865558446139603
BUENOS AIRES,9 de Julio,9 de Julio,6588100,6.0,4824.0,0.09668535970401132
BUENOS AIRES,9 de Julio,9 de Julio,6588100,7.0,235.0,0.004710004048599225
BUENOS AIRES,9 de Julio,9 de Julio,6588100,8.0,98.0,0.0019641719011179743
BUENOS AIRES,9 de Julio,9 de Julio,6588100,10.0,2669.0,0.05349362044983545
BUENOS AIRES,9 de Julio,9 de Julio,6588100,15.0,1239.0,0.02483274474984868
BUENOS AIRES,9 de Julio,9 de Julio,6588100,20.0,1144.0,0.022928700559989416
BUENOS AIRES,9 de Julio,9 de Julio,6588100,30.0,362.0,0.007255410491884762
BUENOS AIRES,9 de Julio,9 de Julio,6588100,50.0,631.0,0.012646861934749407
BUENOS AIRES,9 de Julio,9 de Julio,6588100,100.0,1843.0,0.036938457283269666
BUENOS AIRES,9 de Julio,9 de Julio,6588100,300.0,1068.0,0.021405465208102006
BUENOS AIRES,9 de Julio,9 de Julio,6588100,500.0,33.0,0.0006614048238458486
BUENOS AIRES,9 de Julio,9 de Julio,6588100,1000.0,14.0,0.00028059598587399634
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,3.0,510.0,0.010221710913981297
BUENOS AIRES,9 de Julio,Dudignac,6588040,1.0,8.0,0.00016034056335656935
BUENOS AIRES,9 de Julio,Dudignac,6588040,3.0,36.0,0.0007215325351045621
BUENOS AIRES,9 de Julio,Dudignac,6588040,4.0,247.0,0.004950514893634079
BUENOS AIRES,9 de Julio,Dudignac,6588040,6.0,46.0,0.0009219582393002738
BUENOS AIRES,9 de Julio,Dudignac,6588040,10.0,52.0,0.0010422136618177009
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,1.0,1.0,2.004257041957117e-05
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,2.0,193.0,0.0038682160909772356
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,6.0,1.0,2.004257041957117e-05
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,10.0,2.0,4.008514083914234e-05
BUENOS AIRES,9 de Julio,Morea,6588080,3.0,130.0,0.002605534154544252
BUENOS AIRES,9 de Julio,Patricios,6588110,3.0,50.0,0.0010021285209785584
