Provincia,Partido,Localidad,Tecnologia,Link Indec,Accesos
BUENOS AIRES,25 de Mayo,25 de Mayo,adsl,6854100,755.0
BUENOS AIRES,25 de Mayo,25 de Mayo,cablemodem,6854100,4600.0
BUENOS AIRES,25 de Mayo,25 de Mayo,fibra optica,6854100,2.0
BUENOS AIRES,25 de Mayo,25 de Mayo,satelital,6854100,742.0
BUENOS AIRES,25 de Mayo,25 de Mayo,wireless,6854100,727.0
BUENOS AIRES,25 de Mayo,Del Valle,adsl,6854020,181.0
BUENOS AIRES,25 de Mayo,Del Valle,otros,6854020,10.0
BUENOS AIRES,25 de Mayo,Del Valle,satelital,6854020,1.0
BUENOS AIRES,25 de Mayo,Ernestina,adsl,6854030,75.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,wireless,6854040,181.0
BUENOS AIRES,25 de Mayo,Lucas Monteverde,wireless,6854050,6.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,cablemodem,6854060,782.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,fibra optica,6854060,496.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,otros,6854060,16.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,wireless,6854060,185.0
BUENOS AIRES,25 de Mayo,Pedernales,adsl,6854070,154.0
BUENOS AIRES,25 de Mayo,Pedernales,fibra optica,6854070,25.0
BUENOS AIRES,25 de Mayo,Pedernales,otros,6854070,21.0
BUENOS AIRES,25 de Mayo,Pedernales,wireless,6854070,7.0
BUENOS AIRES,9 de Julio,12 de Octubre,wireless,6588030,19.0
BUENOS AIRES,9 de Julio,9 de Julio,adsl,6588100,4241.0
BUENOS AIRES,9 de Julio,9 de Julio,cablemodem,6588100,3463.0
BUENOS AIRES,9 de Julio,9 de Julio,dial up,6588100,80.0
BUENOS AIRES,9 de Julio,9 de Julio,fibra optica,6588100,6238.0
BUENOS AIRES,9 de Julio,9 de Julio,wireless,6588100,831.0
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),adsl,6588010,450.0
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),otros,6588010,60.0
BUENOS AIRES,9 de Julio,Dudignac,wireless,6588040,474.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),adsl,6588060,193.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),fibra optica,6588060,2.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),otros,6588060,2.0
BUENOS AIRES,9 de Julio,Morea,wireless,6588080,130.0
BUENOS AIRES,9 de Julio,Patricios,adsl,6588110,81.0
BUENOS AIRES,9 de Julio,Patricios,wireless,6588110,50.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),fibra optica,6588120,118.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),wireless,6588120,42.0
BUENOS AIRES,Adolfo Alsina,Carhué,adsl,6007010,766.0
BUENOS AIRES,Adolfo Alsina,Carhué,dial up,6007010,1.0
BUENOS AIRES,Adolfo Alsina,Carhué,fibra optica,6007010,1417.0
BUENOS AIRES,Adolfo Alsina,Carhué,otros,6007010,1.0
BUENOS AIRES,Adolfo Alsina,Carhué,wireless,6007010,1073.0
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,fibra optica,6007020,208.0
